minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
54,39,2,Brazil,Neymar da Silva Santos Junior,Center Attacking Midfield,107.5,38.9,120.0,34.3,Left Foot,Half Volley,From Throw In,False,True,False,False,False,0.11246919,Off T,2022,0,12.54830665866913,0.5658525358157502,1.1000000000000014
59,25,2,Brazil,Alex Sandro Lobo Silva,Left Back,88.0,32.0,120.0,36.1,Left Foot,Normal,From Free Kick,False,False,False,False,False,0.021819543,Post,2022,0,32.984845004941285,0.21462073076154387,8.0
59,36,2,Brazil,Vinícius José Paixão de Oliveira Júnior,Left Wing,105.0,20.1,120.0,49.0,Right Foot,Normal,From Free Kick,False,False,False,False,False,0.009459062,Off T,2022,0,24.920072231034965,0.17877738629785878,19.9
61,57,2,Brazil,Vinícius José Paixão de Oliveira Júnior,Left Wing,110.0,26.9,118.8,39.3,Right Foot,Normal,Regular Play,False,True,False,False,False,0.07986015,Saved,2022,0,16.48059464946578,0.2762377353442589,13.100000000000001
61,58,2,Brazil,Richarlison de Andrade,Center Forward,114.5,41.8,120.0,41.7,Right Foot,Volley,Regular Play,False,True,False,False,False,0.568145,Goal,2022,1,5.787054518492114,1.1078563698609414,1.7999999999999972
66,46,2,Brazil,Vinícius José Paixão de Oliveira Júnior,Left Wing,109.1,28.2,120.0,29.1,Left Foot,Normal,Regular Play,False,False,False,False,False,0.14253756,Off T,2022,0,16.063934760823706,0.31524939597529145,11.8
68,34,2,Serbia,Strahinja Pavlović,Left Center Back,111.8,38.5,120.0,42.7,Head,Normal,From Corner,True,False,False,False,False,0.098937765,Off T,2022,0,8.336066218546975,0.81922657409564,1.5
69,54,2,Serbia,Darko Lazović,Right Wing Back,95.6,50.9,120.0,48.9,Right Foot,Half Volley,From Corner,False,True,False,False,False,0.018288644,Off T,2022,0,26.723959287500797,0.24955909671696214,10.899999999999999
72,54,2,Brazil,Richarlison de Andrade,Center Forward,107.1,39.6,120.0,37.0,Right Foot,Volley,From Throw In,False,False,False,False,False,0.07569885,Goal,2022,1,12.906200060436074,0.552444586962153,0.3999999999999986
76,48,2,Brazil,Carlos Henrique Casimiro,Left Defensive Midfield,86.3,31.2,87.2,31.4,Right Foot,Normal,Regular Play,True,True,False,False,False,0.010592449,Blocked,2022,0,34.83001579098121,0.20278921128380378,8.8
80,52,2,Brazil,Carlos Henrique Casimiro,Left Defensive Midfield,98.1,35.2,120.0,43.1,Right Foot,Normal,Regular Play,False,True,False,False,False,0.06218912,Post,2022,0,22.41985726984006,0.3166338695108948,4.799999999999997
